Sample	HealthState	Treatment	Month	Copies_kor	ASV1
BS2_1566_DD_A	DD	none	August	0	0
BS2_1566_HD_A	HD	none	August	0.0403	0
BS2_1689_DD_A	DD	none	August	0	0
BS2_1689_HD_A	HD	none	August	0.1529	0
BS2_1842_DD_A	DD	none	August	0.1425	0
BS2_1842_HD_A	HD	none	August	0.8333	0
BS2_1894_HH_A	HH	none	August	0	0
BS2_1925_DD_A	DD	none	August	0.4444	0
BS2_1925_HD_A	HD	none	August	0.0909	0
BS2_2006_DD_A	DD	none	August	0.1736	0
BS2_2006_HD_A	HD	none	August	0.0427	0
BS2_2019_DD_A	HD	none	August	0	0
BS2_2019_HD_A	DD	none	August	0	0
BS2_2048_DD_A	HD	none	August	0	0
BS2_2048_HD_A	HH	none	August	0	0
BS2_2065_HH_A	DD	none	August	0.7937	0
BS2_2076_DD_A	HD	none	August	0.8547	0
BS2_2076_HD_A	DD	none	August	0	0
BS2_2077_DD_A	HD	none	August	2.7778	0
BS2_2077_HD_A	DD	none	August	0.1475	0
BS2_2078_DD_A	HD	none	August	0.1094	0
BS2_2078_HH_A	DD	none	August	2.2667	0
BS2_2079_DD_A	HD	none	August	0	0.001446567
BS2_2079_HD_A	DD	none	August	0	0
BS2_2080_DD_A	HD	none	August	0.5	0
BS2_2080_HD_A	DD	none	August	0	0
BS2_2091_DD_A	HD	none	August	0	0
BS2_2091_HD_A	DD	none	August	0	0
BS2_2149_DD_A	HD	none	August	0.0472	0
BS2_2149_HD_A	HH	none	August	0.0947	0
BS2_2150_HH_A	DD	none	August	0.211	0
BS2_2155_DD_A	HD	none	August	0.1852	0
BS2_2155_HD_A	DD	none	August	0.0606	0
BS2_2161_DD_A	DD	none	August	0	0
BS2_2179_DD_A	HD	none	August	0	0
BS2_2179_HD_A	DD	none	August	0	0
BS2_2180_DD_A	HD	none	August	0.2887	0
BS2_2180_HD_A	DD	none	August	0.06	0
BS2_2198_DD_A	HD	none	August	0	0
BS2_2198_HD_A	DD	none	August	0.119	0
BS2_2415_DD_A	HD	none	August	0.463	0
BS2_2432_DD_A	DD	none	August	0.1263	0
BS2_2432_HD_A	HD	none	August	0	0
BS2_2433_DD_A	DD	none	August	0	0
BS2_2433_HD_A	HD	none	August	0	0
BS2_1_HH_O	HH	none	October	0.0913	0
BS2_10_HH_O	HH	none	October	0	0
BS2_1566_DD_O	DD	probiotic paste	October	0	0.009252669
BS2_1566_HD_O	HD	probiotic paste	October	0.1312	0.057850188
BS2_1689_DD_O	DD	probiotic bag	October	0.0238	0
