""	"sample"	"ASV"	"relative_abundance"	"Coral.tag"	"Complete_sets"	"Proportion_TissueLost_Jan21"	"Proportion_TissueLost_End"	"Treatment"	"Site"	"Coral.species"	"Condition"	"Probiotic"	"Collection.month"	"Collection.year"	"sampled"	"Sequencing.Run"
"1"	"BS2-1566-DD-A"	"Other_n.716"	0.782890007	1566	"yes"	11.3	100	"none"	"BS2"	"MCAV"	"DD"	"NO"	"Aug"	2020	"Before treatment"	"NS2107"
"2"	"BS2-1566-DD-A"	"Vibrio_ASV1"	0	1566	"yes"	11.3	100	"none"	"BS2"	"MCAV"	"DD"	"NO"	"Aug"	2020	"Before treatment"	"NS2107"
"3"	"BS2-1566-DD-A"	"Halomonas_ASV1"	0	1566	"yes"	11.3	100	"none"	"BS2"	"MCAV"	"DD"	"NO"	"Aug"	2020	"Before treatment"	"NS2107"
"4"	"BS2-1566-DD-A"	"Pseudoalteromonas_ASV1"	0	1566	"yes"	11.3	100	"none"	"BS2"	"MCAV"	"DD"	"NO"	"Aug"	2020	"Before treatment"	"NS2107"
"5"	"BS2-1566-DD-A"	"Roseibacillus_ASV1"	0.024802301	1566	"yes"	11.3	100	"none"	"BS2"	"MCAV"	"DD"	"NO"	"Aug"	2020	"Before treatment"	"NS2107"
"6"	"BS2-1566-DD-A"	"Photobacterium_ASV1"	0	1566	"yes"	11.3	100	"none"	"BS2"	"MCAV"	"DD"	"NO"	"Aug"	2020	"Before treatment"	"NS2107"
"7"	"BS2-1566-DD-A"	"Endozoicomonas_ASV3"	0.018907261	1566	"yes"	11.3	100	"none"	"BS2"	"MCAV"	"DD"	"NO"	"Aug"	2020	"Before treatment"	"NS2107"
"8"	"BS2-1566-DD-A"	"Vibrio_ASV3"	0	1566	"yes"	11.3	100	"none"	"BS2"	"MCAV"	"DD"	"NO"	"Aug"	2020	"Before treatment"	"NS2107"
"9"	"BS2-1566-DD-A"	"Enhydrobacter_ASV1"	0.073687994	1566	"yes"	11.3	100	"none"	"BS2"	"MCAV"	"DD"	"NO"	"Aug"	2020	"Before treatment"	"NS2107"
"10"	"BS2-1566-DD-A"	"Endozoicomonas_ASV2"	0.024658519	1566	"yes"	11.3	100	"none"	"BS2"	"MCAV"	"DD"	"NO"	"Aug"	2020	"Before treatment"	"NS2107"
"11"	"BS2-1566-DD-A"	"Ruegeria_ASV1"	0	1566	"yes"	11.3	100	"none"	"BS2"	"MCAV"	"DD"	"NO"	"Aug"	2020	"Before treatment"	"NS2107"
"12"	"BS2-1566-DD-A"	"Halomonas_ASV2"	0.001294033	1566	"yes"	11.3	100	"none"	"BS2"	"MCAV"	"DD"	"NO"	"Aug"	2020	"Before treatment"	"NS2107"
"13"	"BS2-1566-DD-A"	"Pseudoalteromonas_ASV2"	0	1566	"yes"	11.3	100	"none"	"BS2"	"MCAV"	"DD"	"NO"	"Aug"	2020	"Before treatment"	"NS2107"
"14"	"BS2-1566-DD-A"	"Endozoicomonas_ASV1"	0.003378864	1566	"yes"	11.3	100	"none"	"BS2"	"MCAV"	"DD"	"NO"	"Aug"	2020	"Before treatment"	"NS2107"
