""	"input"	"filtered"	"denoised"	"merged"	"tabled"
"blank-pb4"	845	108	81	71	71
"blank-pb5"	1015	102	81	73	73
"blank-pb6"	6173	5102	5006	4235	4235
"blank-pb7"	627	296	280	274	274
"blank-pb8"	1435	492	466	442	442
"BS3-2041-HH-C"	9463	6129	5974	5642	5642
"BS3-2116-HD-A"	5082	3074	2072	1873	1873
"BS3-2116-HH-C"	16275	13155	12969	9962	9962
"BS3-2264-DD-C"	41401	36958	36186	32431	32431
"BS3-2264-HD-C"	31640	28660	26952	25465	25465
"BS3-2265-DD-C"	10648	8463	7157	6091	6091
"BS3-2265-HD-C"	7074	3606	1405	1225	1225
"BS3-2266-DD-C"	10451	7299	6844	6156	6156
"BS3-2266-HD-C"	7712	4754	2809	2430	2430
"BS3-2267-HH-C"	4625	3171	2068	1846	1846
"BS3-2268-HH-C"	8552	4756	2451	2180	2180
"BS3-2362-DD-C"	10741	8816	7856	6795	6795
"BS3-2362-HD-C"	13784	10146	5972	5542	5542
"BS3-2363-HH-C"	12047	7349	7153	2876	2876
"BS3-2364-DD-C"	28801	25774	23064	21744	21744
"BS3-2364-HD-C"	9160	6669	3470	3299	3299
"BS3-2365-DD-C"	60514	47525	42524	39966	39966
"BS3-2365-HD-C"	13152	10027	8069	7722	7722
"BS3-2366-DD-C"	15595	12572	10093	8247	8247
"BS3-2366-HD-C"	25315	23286	21641	20994	20994
"BS3-2429-DD-C"	21119	17801	16670	10115	10115
"BS3-2429-HD-C"	8267	5771	3131	2825	2825
"BS3-2451-HH-C"	5213	3275	1799	1599	1599
"BS3-2503-HH-C"	7950	7446	4865	4270	4270
"BS3-2504-HH-A"	5644	4155	3639	3376	3376
"BS3-2504-HH-C"	17448	12833	9859	9181	9181
"BS3-2505-DD-C"	20508	17616	15798	14519	14519
"BS3-2505-HD-C"	23236	20037	17268	16304	16304
"BS3-2506-HH-C"	6137	3421	3281	3131	3131
"BS3-2507-DD-C"	7958	5413	2793	2533	2533
"BS3-2507-HD-C"	21617	18668	16345	13505	13505
"BS3-2512-HH-C"	4634	2879	1223	1092	1092
"BS3-2513-DD-C"	13988	9252	8126	7557	7557
"BS3-2513-HD-C"	6301	4535	4390	4070	4070
"BS3-2516-DD-C"	28787	26511	25584	24494	24494
"BS3-2516-HD-C"	25323	21825	20484	19525	19525
"BS3-2517-HH-C"	7011	4614	4448	2625	2625
"BS3-2549-HH-C"	6505	4263	2756	2533	2533
"BS3-2564-HH-C"	7100	4635	2427	2136	2136
"BS3-2565-HH-C"	7942	5996	2856	2577	2577
"BS3-2568-DD-C"	21665	18645	16135	13527	13527
"BS3-2568-HD-C"	5891	3790	3673	3585	3585
"BS3-2569-HH-C"	9978	5696	5285	5102	5102
"BS3-2581-DD-A"	21303	17779	16444	14360	14360
"BS3-2581-DD-C"	19314	16047	13049	11159	11159
"BS3-2581-HD-C"	8684	5910	3781	3332	3332
"BS3-2615-H-C"	7189	5207	2980	2783	2783
"BS3-2628-H-C"	8817	6190	3224	2836	2836
"BS3-2629-HH-C"	33200	29604	26882	25657	25657
"BS3-2631-H-C"	15233	12699	9066	8360	8360
"BS3-2634-DD-C"	23605	21433	18691	17673	17673
"BS3-2634-HD-C"	10539	7741	4070	3547	3547
"BS3-2635-DD-C"	23908	21870	19860	16183	16183
"BS3-2635-HD-C"	9395	5677	2521	2262	2262
"BS3-2688-HH-C"	5418	2763	2632	2496	2496
"BS3-2697-H-C"	10849	9239	8985	5866	5866
"BS3-2698-H-C"	4662	3135	1802	1641	1641
"BS3-2753-DD-C"	43760	40906	39349	34647	34647
"BS3-2753-HD-C"	26670	24764	23025	20676	20676
"BS3-2769-HD-C"	13083	10756	8503	7503	7503
"BS3-2769-HH-C"	4909	3287	1713	1490	1490
"BS3-2799-DD-C"	27894	26261	24880	22810	22810
"BS3-2799-HD-C"	15014	13450	11728	10664	10664
"BS3-2814-HD-C"	10000	8905	7676	7040	7040
"BS3-2832-HH-C"	7554	5974	4861	4135	4135
"BS3-2834-DD-B"	23521	21418	20679	18308	18308
"BS3-2834-DD-C"	16223	13948	11483	9980	9980
"BS3-2834-HD-B"	11632	6876	2739	2484	2484
"BS3-2834-HD-C"	6938	4643	3026	2787	2787
"BS3-2848-HH-B"	4974	3127	2974	1338	1338
"BS3-2848-HH-C"	6887	4834	1672	1525	1525
"BS3-2880-HH-B"	5266	3391	3285	1077	1077
"BS3-2880-HH-C"	9052	5615	5456	5204	5204
"BS3-2896-HH-B"	5058	4104	3169	2619	2619
"BS3-2896-HH-C"	8356	6514	4931	4735	4735
"BS3-2897-HH-B"	16585	14030	12516	12097	12097
"BS3-2897-HH-C"	6142	4962	2419	2281	2281
"BS3-2899-HD-C"	42031	39169	35648	29453	29453
"BS3-2899-HH-B"	7675	4512	1655	1527	1527
"BS3-2899-HH-C"	8435	5761	3067	2837	2837
