Sample name	Coral.tag	Complete_sets	Proportion_TissueLost_Jan21	Proportion_TissueLost_End	Treatment	Site	Coral.species	Condition	Probiotic	Collection.month	Collection.year	sampled	Sequencing.Run
BLANK1-A	blank	blank	blank	blank	blank	blank	blank	blank	blank	Aug	2020	blank	NS2107
BLANK2-A	blank	blank	blank	blank	blank	blank	blank	blank	blank	Aug	2020	blank	NS2107
BS2-1-HH-A	1	no	nd	nd	none	BS2	MCAV	HH	NO	Aug	2020	Two weeks after treatment	NS2107
BS2-10H-A	10	no	nd	nd	none	BS2	MCAV	HH	NO	Aug	2020	Two weeks after treatment	NS2107
BS2-1566-DD-A	1566	yes	11.3	100	none	BS2	MCAV	DD	NO	Aug	2020	Before treatment	NS2107
BS2-1566-DD-D	1566	yes	11.3	100	probiotic paste	BS2	MCAV	DD	YES	Jan	2021	Two months after second treatment	NS2211
BS2-1566-DD-O	1566	yes	11.3	100	probiotic paste	BS2	MCAV	DD	YES	Oct	2020	Two weeks after treatment	NS2172
BS2-1566-HD-A	1566	yes	11.3	100	none	BS2	MCAV	HD	NO	Aug	2020	Before treatment	NS2107
BS2-1566-HD-D	1566	yes	11.3	100	probiotic paste	BS2	MCAV	HD	YES	Jan	2021	Two months after second treatment	NS2211
BS2-1566-HD-O	1566	yes	11.3	100	probiotic paste	BS2	MCAV	HD	YES	Oct	2020	Two weeks after treatment	NS2172
BS2-1689-DD-A	1689	yes	15.6	53.2	none	BS2	MCAV	DD	NO	Aug	2020	Before treatment	NS2107
BS2-1689-DD-D	1689	yes	15.6	53.2	probiotic bag	BS2	MCAV	DD	YES	Jan	2021	Two months after second treatment	NS2211
BS2-1689-DD-O	1689	yes	15.6	53.2	probiotic bag	BS2	MCAV	DD	YES	Oct	2020	Two weeks after treatment	NS2172
BS2-1689-HD-A	1689	yes	15.6	53.2	none	BS2	MCAV	HD	NO	Aug	2020	Before treatment	NS2107
BS2-1689-HD-D	1689	yes	15.6	53.2	probiotic bag	BS2	MCAV	HD	YES	Jan	2021	Two months after second treatment	NS2211
BS2-1689-HD-O	1689	yes	15.6	53.2	probiotic bag	BS2	MCAV	HD	YES	Oct	2020	Two weeks after treatment	NS2172
BS2-1842-DD-A	1842	yes	84.3	94.2	none	BS2	MCAV	DD	NO	Aug	2020	Before treatment	NS2107
BS2-1842-DD-O	1842	yes	84.3	94.2	probiotic bag	BS2	MCAV	DD	YES	Oct	2020	Two weeks after treatment	NS2172
BS2-1842-HD-A	1842	yes	84.3	94.2	none	BS2	MCAV	HD	NO	Aug	2020	Before treatment	NS2107
BS2-1842-HD-D	1842	yes	84.3	94.2	probiotic bag	BS2	MCAV	HD	YES	Jan	2021	Two months after second treatment	NS2211
BS2-1842-HD-O	1842	yes	84.3	94.2	probiotic bag	BS2	MCAV	HD	YES	Oct	2020	Two weeks after treatment	NS2172
BS2-1894-HH-A	1894	no	nd	nd	none	BS2	MCAV	HH	NO	Aug	2020	Before treatment	NS2107
BS2-1925-DD-A	1925	yes	8.6	10.9	none	BS2	MCAV	DD	NO	Aug	2020	Before treatment	NS2107
BS2-1925-DD-O	1925	yes	8.6	10.9	probiotic bag	BS2	MCAV	DD	YES	Oct	2020	Two weeks after treatment	NS2172
BS2-1925-HD-A	1925	yes	8.6	10.9	none	BS2	MCAV	HD	NO	Aug	2020	Before treatment	NS2107
BS2-1925-HD-D	1925	yes	8.6	10.9	probiotic bag	BS2	MCAV	HD	YES	Jan	2021	Two months after second treatment	NS2211
BS2-1925-HD-O	1925	yes	8.6	10.9	probiotic bag	BS2	MCAV	HD	YES	Oct	2020	Two weeks after treatment	NS2172
BS2-2006-DD-A	2006	yes	10	40.7	none	BS2	MCAV	DD	NO	Aug	2020	Before treatment	NS2107
BS2-2006-DD-D	2006	yes	10	40.7	probiotic paste	BS2	MCAV	DD	YES	Jan	2021	Two months after second treatment	NS2211
BS2-2006-DD-O	2006	yes	10	40.7	probiotic paste	BS2	MCAV	DD	YES	Oct	2020	Two weeks after treatment	NS2172
BS2-2006-HD-A	2006	yes	10	40.7	none	BS2	MCAV	HD	NO	Aug	2020	Before treatment	NS2107
BS2-2006-HD-D	2006	yes	10	40.7	probiotic paste	BS2	MCAV	HD	YES	Jan	2021	Two months after second treatment	NS2211
BS2-2006-HD-O	2006	yes	10	40.7	probiotic paste	BS2	MCAV	HD	YES	Oct	2020	Two weeks after treatment	NS2172
BS2-2019-DD-A	2019	yes	0.2	0.1	none	BS2	MCAV	DD	NO	Aug	2020	Before treatment	NS2107
BS2-2019-DD-O	2019	yes	0.2	0.1	probiotic bag	BS2	MCAV	DD	YES	Oct	2020	Two weeks after treatment	NS2172
BS2-2019-HD-A	2019	yes	0.2	0.1	none	BS2	MCAV	HD	NO	Aug	2020	Before treatment	NS2107
BS2-2019-HD-D	2019	yes	0.2	0.1	probiotic bag	BS2	MCAV	HD	YES	Jan	2021	Two months after second treatment	NS2211
BS2-2019-HD-O	2019	yes	0.2	0.1	probiotic bag	BS2	MCAV	HD	YES	Oct	2020	Two weeks after treatment	NS2172
BS2-2048-DD-A	2048	yes	45.3	100	none	BS2	MCAV	DD	NO	Aug	2020	Before treatment	NS2107
BS2-2048-DD-D	2048	yes	45.3	100	control bag	BS2	MCAV	DD	NO	Jan	2021	Two months after second treatment	NS2211
