""	"Coral.tag"	"Complete_sets"	"Proportion_TissueLost_Jan21"	"Proportion_TissueLost_End"	"Treatment"	"Site"	"Coral.species"	"Condition"	"Probiotic"	"Collection.month"	"Collection.year"	"sampled"	"Sequencing.Run"
"BS2-1-HH-A"	"   1"	"no"	"nd"	"nd"	"none"	"BS2"	"MCAV"	"HH"	"NO"	"Aug"	"2020"	"Two weeks after treatment"	"NS2107"
"BS2-10H-A"	"  10"	"no"	"nd"	"nd"	"none"	"BS2"	"MCAV"	"HH"	"NO"	"Aug"	"2020"	"Two weeks after treatment"	"NS2107"
"BS2-1566-DD-A"	"1566"	"yes"	"11.3"	"100"	"none"	"BS2"	"MCAV"	"DD"	"NO"	"Aug"	"2020"	"Before treatment"	"NS2107"
"BS2-1566-HD-A"	"1566"	"yes"	"11.3"	"100"	"none"	"BS2"	"MCAV"	"HD"	"NO"	"Aug"	"2020"	"Before treatment"	"NS2107"
"BS2-1689-DD-A"	"1689"	"yes"	"15.6"	"53.2"	"none"	"BS2"	"MCAV"	"DD"	"NO"	"Aug"	"2020"	"Before treatment"	"NS2107"
"BS2-1689-HD-A"	"1689"	"yes"	"15.6"	"53.2"	"none"	"BS2"	"MCAV"	"HD"	"NO"	"Aug"	"2020"	"Before treatment"	"NS2107"
"BS2-1842-DD-A"	"1842"	"yes"	"84.3"	"94.2"	"none"	"BS2"	"MCAV"	"DD"	"NO"	"Aug"	"2020"	"Before treatment"	"NS2107"
"BS2-1842-HD-A"	"1842"	"yes"	"84.3"	"94.2"	"none"	"BS2"	"MCAV"	"HD"	"NO"	"Aug"	"2020"	"Before treatment"	"NS2107"
"BS2-1894-HH-A"	"1894"	"no"	"nd"	"nd"	"none"	"BS2"	"MCAV"	"HH"	"NO"	"Aug"	"2020"	"Before treatment"	"NS2107"
"BS2-1925-DD-A"	"1925"	"yes"	"8.6"	"10.9"	"none"	"BS2"	"MCAV"	"DD"	"NO"	"Aug"	"2020"	"Before treatment"	"NS2107"
"BS2-1925-HD-A"	"1925"	"yes"	"8.6"	"10.9"	"none"	"BS2"	"MCAV"	"HD"	"NO"	"Aug"	"2020"	"Before treatment"	"NS2107"
