""	"Coral.tag"	"Complete_sets"	"Proportion_TissueLost_Jan21"	"Proportion_TissueLost_End"	"Treatment"	"Site"	"Coral.species"	"Condition"	"Probiotic"	"Collection.month"	"Collection.year"	"sampled"	"Sequencing.Run"
"BS2-1-HH-A"	"   1"	"no"	"nd"	"nd"	"none"	"BS2"	"MCAV"	"HH"	"NO"	"Oct"	"2020"	"Two weeks after treatment"	"NS2107"
"BS2-10H-A"	"  10"	"no"	"nd"	"nd"	"none"	"BS2"	"MCAV"	"HH"	"NO"	"Oct"	"2020"	"Two weeks after treatment"	"NS2107"
"BS2-3-HH-A"	"   3"	"no"	"nd"	"nd"	"none"	"BS2"	"MCAV"	"HH"	"NO"	"Oct"	"2020"	"Two weeks after treatment"	"NS2107"
"BS2-4H-A"	"   4"	"no"	"nd"	"nd"	"none"	"BS2"	"MCAV"	"HH"	"NO"	"Oct"	"2020"	"Two weeks after treatment"	"NS2107"
"BS2-5-HH-A"	"   5"	"no"	"nd"	"nd"	"none"	"BS2"	"MCAV"	"HH"	"NO"	"Oct"	"2020"	"Two weeks after treatment"	"NS2107"
"BS2-6H-A"	"   6"	"no"	"nd"	"nd"	"none"	"BS2"	"MCAV"	"HH"	"NO"	"Oct"	"2020"	"Two weeks after treatment"	"NS2107"
"BS2-7H-A"	"   7"	"no"	"nd"	"nd"	"none"	"BS2"	"MCAV"	"HH"	"NO"	"Oct"	"2020"	"Two weeks after treatment"	"NS2107"
"BS2-8H-A"	"   8"	"no"	"nd"	"nd"	"none"	"BS2"	"MCAV"	"HH"	"NO"	"Oct"	"2020"	"Two weeks after treatment"	"NS2107"
"BS2-9H-A"	"   9"	"no"	"nd"	"nd"	"none"	"BS2"	"MCAV"	"HH"	"NO"	"Oct"	"2020"	"Two weeks after treatment"	"NS2107"
"BS2-1566-DD-O"	"1566"	"yes"	"11.3"	"100"	"probiotic paste"	"BS2"	"MCAV"	"DD"	"YES"	"Oct"	"2020"	"Two weeks after treatment"	"NS2172"
"BS2-1566-HD-O"	"1566"	"yes"	"11.3"	"100"	"probiotic paste"	"BS2"	"MCAV"	"HD"	"YES"	"Oct"	"2020"	"Two weeks after treatment"	"NS2172"
"BS2-1689-DD-O"	"1689"	"yes"	"15.6"	"53.2"	"probiotic bag"	"BS2"	"MCAV"	"DD"	"YES"	"Oct"	"2020"	"Two weeks after treatment"	"NS2172"
"BS2-1689-HD-O"	"1689"	"yes"	"15.6"	"53.2"	"probiotic bag"	"BS2"	"MCAV"	"HD"	"YES"	"Oct"	"2020"	"Two weeks after treatment"	"NS2172"
"BS2-1842-DD-O"	"1842"	"yes"	"84.3"	"94.2"	"probiotic bag"	"BS2"	"MCAV"	"DD"	"YES"	"Oct"	"2020"	"Two weeks after treatment"	"NS2172"
"BS2-1842-HD-O"	"1842"	"yes"	"84.3"	"94.2"	"probiotic bag"	"BS2"	"MCAV"	"HD"	"YES"	"Oct"	"2020"	"Two weeks after treatment"	"NS2172"
"BS2-1925-DD-O"	"1925"	"yes"	"8.6"	"10.9"	"probiotic bag"	"BS2"	"MCAV"	"DD"	"YES"	"Oct"	"2020"	"Two weeks after treatment"	"NS2172"
"BS2-1925-HD-O"	"1925"	"yes"	"8.6"	"10.9"	"probiotic bag"	"BS2"	"MCAV"	"HD"	"YES"	"Oct"	"2020"	"Two weeks after treatment"	"NS2172"
"BS2-2006-DD-O"	"2006"	"yes"	"10"	"40.7"	"probiotic paste"	"BS2"	"MCAV"	"DD"	"YES"	"Oct"	"2020"	"Two weeks after treatment"	"NS2172"
"BS2-2006-HD-O"	"2006"	"yes"	"10"	"40.7"	"probiotic paste"	"BS2"	"MCAV"	"HD"	"YES"	"Oct"	"2020"	"Two weeks after treatment"	"NS2172"
"BS2-2019-DD-O"	"2019"	"yes"	"0.2"	"0.1"	"probiotic bag"	"BS2"	"MCAV"	"DD"	"YES"	"Oct"	"2020"	"Two weeks after treatment"	"NS2172"
"BS2-2019-HD-O"	"2019"	"yes"	"0.2"	"0.1"	"probiotic bag"	"BS2"	"MCAV"	"HD"	"YES"	"Oct"	"2020"	"Two weeks after treatment"	"NS2172"
"BS2-2048-DD-O"	"2048"	"yes"	"45.3"	"100"	"control bag"	"BS2"	"MCAV"	"DD"	"NO"	"Oct"	"2020"	"Two weeks after treatment"	"NS2172"
"BS2-2048-HD-O"	"2048"	"yes"	"45.3"	"100"	"control bag"	"BS2"	"MCAV"	"HD"	"NO"	"Oct"	"2020"	"Two weeks after treatment"	"NS2172"
"BS2-2076-DD-O"	"2076"	"yes"	"0.7"	"71.8"	"control bag"	"BS2"	"MCAV"	"DD"	"NO"	"Oct"	"2020"	"Two weeks after treatment"	"NS2172"
"BS2-2076-HD-O"	"2076"	"yes"	"0.7"	"71.8"	"control bag"	"BS2"	"MCAV"	"HD"	"NO"	"Oct"	"2020"	"Two weeks after treatment"	"NS2172"
"BS2-2078-DD-O"	"2078"	"yes"	"11.7"	"25.2"	"none"	"BS2"	"MCAV"	"DD"	"NO"	"Oct"	"2020"	"Two weeks after treatment"	"NS2172"
"BS2-2078-HD-O"	"2078"	"yes"	"11.7"	"25.2"	"none"	"BS2"	"MCAV"	"HD"	"NO"	"Oct"	"2020"	"Two weeks after treatment"	"NS2172"
"BS2-2079-DD-O"	"2079"	"yes"	"24.7"	"100"	"probiotic paste"	"BS2"	"MCAV"	"DD"	"YES"	"Oct"	"2020"	"Two weeks after treatment"	"NS2172"
"BS2-2079-HD-O"	"2079"	"yes"	"24.7"	"100"	"probiotic paste"	"BS2"	"MCAV"	"HD"	"YES"	"Oct"	"2020"	"Two weeks after treatment"	"NS2172"
"BS2-2080-DD-O"	"2080"	"no"	"100"	"100"	"control paste"	"BS2"	"MCAV"	"DD"	"NO"	"Oct"	"2020"	"Two weeks after treatment"	"NS2172"
"BS2-2091-DD-O"	"2091"	"yes"	"4"	"1.8"	"control paste"	"BS2"	"MCAV"	"DD"	"NO"	"Oct"	"2020"	"Two weeks after treatment"	"NS2172"
"BS2-2091-HD-O"	"2091"	"yes"	"4"	"1.8"	"control paste"	"BS2"	"MCAV"	"HD"	"NO"	"Oct"	"2020"	"Two weeks after treatment"	"NS2172"
"BS2-2149-DD-O"	"2149"	"yes"	"34.7"	"100"	"probiotic paste"	"BS2"	"MCAV"	"DD"	"YES"	"Oct"	"2020"	"Two weeks after treatment"	"NS2172"
"BS2-2149-HD-O"	"2149"	"yes"	"34.7"	"100"	"probiotic paste"	"BS2"	"MCAV"	"HD"	"YES"	"Oct"	"2020"	"Two weeks after treatment"	"NS2172"
"BS2-2150-HH-O"	"2150"	"no"	"nd"	"nd"	"none"	"BS2"	"MCAV"	"HH"	"NO"	"Oct"	"2020"	"Two weeks after treatment"	"NS2172"
"BS2-2155-DD-O"	"2155"	"yes"	"4.5"	"45.2"	"control paste"	"BS2"	"MCAV"	"DD"	"NO"	"Oct"	"2020"	"Two weeks after treatment"	"NS2172"
"BS2-2155-HD-O"	"2155"	"yes"	"4.5"	"45.2"	"control paste"	"BS2"	"MCAV"	"HD"	"NO"	"Oct"	"2020"	"Two weeks after treatment"	"NS2172"
"BS2-2179-DD-O"	"2179"	"yes"	"5.9"	"4.5"	"control paste"	"BS2"	"MCAV"	"DD"	"NO"	"Oct"	"2020"	"Two weeks after treatment"	"NS2172"
"BS2-2179-HD-O"	"2179"	"yes"	"5.9"	"4.5"	"control paste"	"BS2"	"MCAV"	"HD"	"NO"	"Oct"	"2020"	"Two weeks after treatment"	"NS2172"
"BS2-2180-DD-O"	"2180"	"yes"	"18.1"	"100"	"control bag"	"BS2"	"MCAV"	"DD"	"NO"	"Oct"	"2020"	"Two weeks after treatment"	"NS2172"
"BS2-2180-HD-O"	"2180"	"yes"	"18.1"	"100"	"control bag"	"BS2"	"MCAV"	"HD"	"NO"	"Oct"	"2020"	"Two weeks after treatment"	"NS2172"
"BS2-2198-DD-O"	"2198"	"yes"	"2.2"	"9.2"	"control bag"	"BS2"	"MCAV"	"DD"	"NO"	"Oct"	"2020"	"Two weeks after treatment"	"NS2172"
"BS2-2407-DD-O"	"2407"	"no"	"nd"	"nd"	"control bag"	"BS2"	"MCAV"	"DD"	"NO"	"Oct"	"2020"	"Two weeks after treatment"	"NS2172"
