""	"Coral.tag"	"Treatment"	"Site"	"Coral.species"	"Condition"	"Treated"	"Collection.month"	"Collection.year"	"sampling"	"sampled"	"Sample.1"	"Sequencing.Run"
"BS3-2041-DD-A"	"2041"	"none"	"BS3"	"MCAV"	"DD"	"NO"	"July"	"2021"	"Before treatment"	"Before treatment"	"BS3-2041-DD-A"	"NS2661"
"BS3-2041-DD-B"	"2041"	"probiotic paste and bag"	"BS3"	"MCAV"	"DD"	"YES"	"Aug"	"2021"	"One month after treatment"	"One month after treatment"	"BS3-2041-DD-B"	"NS2661"
"BS3-2041-HD-A"	"2041"	"none"	"BS3"	"MCAV"	"HD"	"NO"	"July"	"2021"	"Before treatment"	"Before treatment"	"BS3-2041-HD-A"	"NS2661"
"BS3-2041-HD-B"	"2041"	"probiotic paste and bag"	"BS3"	"MCAV"	"HD"	"YES"	"Aug"	"2021"	"One month after treatment"	"One month after treatment"	"BS3-2041-HD-B"	"NS2661"
"BS3-2116-DD-A"	"2116"	"none"	"BS3"	"MCAV"	"DD"	"NO"	"July"	"2021"	"Before treatment"	"Before treatment"	"BS3-2116-DD-A"	"NS2661"
"BS3-2264-DD-A"	"2264"	"none"	"BS3"	"MCAV"	"DD"	"NO"	"July"	"2021"	"Before treatment"	"Before treatment"	"BS3-2264-DD-A"	"NS2661"
"BS3-2264-DD-B"	"2264"	"control paste and bag"	"BS3"	"MCAV"	"DD"	"NO"	"Aug"	"2021"	"One month after treatment"	"One month after treatment"	"BS3-2264-DD-B"	"NS2661"
"BS3-2264-HD-A"	"2264"	"none"	"BS3"	"MCAV"	"HD"	"NO"	"July"	"2021"	"Before treatment"	"Before treatment"	"BS3-2264-HD-A"	"NS2661"
"BS3-2264-HD-B"	"2264"	"control paste and bag"	"BS3"	"MCAV"	"HD"	"NO"	"Aug"	"2021"	"One month after treatment"	"One month after treatment"	"BS3-2264-HD-B"	"NS2661"
"BS3-2265-DD-B"	"2265"	"control paste and bag"	"BS3"	"MCAV"	"DD"	"NO"	"Aug"	"2021"	"One month after treatment"	"One month after treatment"	"BS3-2265-DD-B"	"NS2661"
"BS3-2265-HD-B"	"2265"	"control paste and bag"	"BS3"	"MCAV"	"HD"	"NO"	"Aug"	"2021"	"One month after treatment"	"One month after treatment"	"BS3-2265-HD-B"	"NS2661"
"BS3-2266-DD-A"	"2266"	"none"	"BS3"	"MCAV"	"DD"	"NO"	"July"	"2021"	"Before treatment"	"Before treatment"	"BS3-2266-DD-A"	"NS2661"
"BS3-2266-DD-B"	"2266"	"probiotic paste and bag"	"BS3"	"MCAV"	"DD"	"YES"	"Aug"	"2021"	"One month after treatment"	"One month after treatment"	"BS3-2266-DD-B"	"NS2661"
"BS3-2266-HD-A"	"2266"	"none"	"BS3"	"MCAV"	"HD"	"NO"	"July"	"2021"	"Before treatment"	"Before treatment"	"BS3-2266-HD-A"	"NS2661"
"BS3-2266-HD-B"	"2266"	"probiotic paste and bag"	"BS3"	"MCAV"	"HD"	"YES"	"Aug"	"2021"	"One month after treatment"	"One month after treatment"	"BS3-2266-HD-B"	"NS2661"
