""	"Coral.tag"	"Treatment"	"Site"	"Coral.species"	"Condition"	"Treated"	"Collection.month"	"Collection.year"	"sampling"	"sampled"	"Sample.1"	"Sequencing.Run"
"BS2-1-HH-A"	"1"	"none"	"BS2"	"MCAV"	"HH"	"NO"	"Aug"	"2020"	"Two weeks after second treatment"	"Two weeks after treatment"	"BS2-1-HH-A"	"NS2107"
"BS2-10H-A"	"10"	"none"	"BS2"	"MCAV"	"HH"	"NO"	"Aug"	"2020"	"Two weeks after second treatment"	"Two weeks after treatment"	"BS2-10H-A"	"NS2107"
"BS2-1566-DD-A"	"1566"	"none"	"BS2"	"MCAV"	"DD"	"NO"	"Aug"	"2020"	"Before first treatment"	"Before treatment"	"BS2-1566-DD-A"	"NS2107"
"BS2-1566-HD-A"	"1566"	"none"	"BS2"	"MCAV"	"HD"	"NO"	"Aug"	"2020"	"Before first treatment"	"Before treatment"	"BS2-1566-HD-A"	"NS2107"
"BS2-1689-DD-A"	"1689"	"none"	"BS2"	"MCAV"	"DD"	"NO"	"Aug"	"2020"	"Before first treatment"	"Before treatment"	"BS2-1689-DD-A"	"NS2107"
"BS2-1689-HD-A"	"1689"	"none"	"BS2"	"MCAV"	"HD"	"NO"	"Aug"	"2020"	"Before first treatment"	"Before treatment"	"BS2-1689-HD-A"	"NS2107"
"BS2-1842-DD-A"	"1842"	"none"	"BS2"	"MCAV"	"DD"	"NO"	"Aug"	"2020"	"Before first treatment"	"Before treatment"	"BS2-1842-DD-A"	"NS2107"
"BS2-1842-HD-A"	"1842"	"none"	"BS2"	"MCAV"	"HD"	"NO"	"Aug"	"2020"	"Before first treatment"	"Before treatment"	"BS2-1842-HD-A"	"NS2107"
"BS2-1894-HH-A"	"1894"	"none"	"BS2"	"MCAV"	"HH"	"NO"	"Aug"	"2020"	"Before first treatment"	"Before treatment"	"BS2-1894-HH-A"	"NS2107"
"BS2-1925-DD-A"	"1925"	"none"	"BS2"	"MCAV"	"DD"	"NO"	"Aug"	"2020"	"Before first treatment"	"Before treatment"	"BS2-1925-DD-A"	"NS2107"
"BS2-1925-HD-A"	"1925"	"none"	"BS2"	"MCAV"	"HD"	"NO"	"Aug"	"2020"	"Before first treatment"	"Before treatment"	"BS2-1925-HD-A"	"NS2107"
"BS2-2006-DD-A"	"2006"	"none"	"BS2"	"MCAV"	"DD"	"NO"	"Aug"	"2020"	"Before first treatment"	"Before treatment"	"BS2-2006-DD-A"	"NS2107"
"BS2-2006-HD-A"	"2006"	"none"	"BS2"	"MCAV"	"HD"	"NO"	"Aug"	"2020"	"Before first treatment"	"Before treatment"	"BS2-2006-HD-A"	"NS2107"
"BS2-2019-DD-A"	"2019"	"none"	"BS2"	"MCAV"	"DD"	"NO"	"Aug"	"2020"	"Before first treatment"	"Before treatment"	"BS2-2019-DD-A"	"NS2107"
"BS2-2019-HD-A"	"2019"	"none"	"BS2"	"MCAV"	"HD"	"NO"	"Aug"	"2020"	"Before first treatment"	"Before treatment"	"BS2-2019-HD-A"	"NS2107"
"BS2-2048-DD-A"	"2048"	"none"	"BS2"	"MCAV"	"DD"	"NO"	"Aug"	"2020"	"Before first treatment"	"Before treatment"	"BS2-2048-DD-A"	"NS2107"
"BS2-2048-HD-A"	"2048"	"none"	"BS2"	"MCAV"	"HD"	"NO"	"Aug"	"2020"	"Before first treatment"	"Before treatment"	"BS2-2048-HD-A"	"NS2107"
"BS2-2065-HH-A"	"2065"	"none"	"BS2"	"MCAV"	"HH"	"NO"	"Aug"	"2020"	"Before first treatment"	"Before treatment"	"BS2-2065-HH-A"	"NS2107"
"BS2-2076-DD-A"	"2076"	"none"	"BS2"	"MCAV"	"DD"	"NO"	"Aug"	"2020"	"Before first treatment"	"Before treatment"	"BS2-2076-DD-A"	"NS2107"
"BS2-2076-HD-A"	"2076"	"none"	"BS2"	"MCAV"	"HD"	"NO"	"Aug"	"2020"	"Before first treatment"	"Before treatment"	"BS2-2076-HD-A"	"NS2107"
"BS2-2077-DD-A"	"2077"	"none"	"BS2"	"MCAV"	"DD"	"NO"	"Aug"	"2020"	"Before first treatment"	"Before treatment"	"BS2-2077-DD-A"	"NS2107"
"BS2-2077-HD-A"	"2077"	"none"	"BS2"	"MCAV"	"HD"	"NO"	"Aug"	"2020"	"Before first treatment"	"Before treatment"	"BS2-2077-HD-A"	"NS2107"
"BS2-2078-DD-A"	"2078"	"none"	"BS2"	"MCAV"	"DD"	"NO"	"Aug"	"2020"	"Before first treatment"	"Before treatment"	"BS2-2078-DD-A"	"NS2107"
"BS2-2078-HH-A"	"2078"	"none"	"BS2"	"MCAV"	"HH"	"NO"	"Aug"	"2020"	"Before first treatment"	"Before treatment"	"BS2-2078-HH-A"	"NS2107"
"BS2-2079-DD-A"	"2079"	"none"	"BS2"	"MCAV"	"DD"	"NO"	"Aug"	"2020"	"Before first treatment"	"Before treatment"	"BS2-2079-DD-A"	"NS2107"
"BS2-2079-HD-A"	"2079"	"none"	"BS2"	"MCAV"	"HD"	"NO"	"Aug"	"2020"	"Before first treatment"	"Before treatment"	"BS2-2079-HD-A"	"NS2107"
"BS2-2080-DD-A"	"2080"	"none"	"BS2"	"MCAV"	"DD"	"NO"	"Aug"	"2020"	"Before first treatment"	"Before treatment"	"BS2-2080-DD-A"	"NS2107"
"BS2-2080-HD-A"	"2080"	"none"	"BS2"	"MCAV"	"HD"	"NO"	"Aug"	"2020"	"Before first treatment"	"Before treatment"	"BS2-2080-HD-A"	"NS2107"
"BS2-2091-DD-A"	"2091"	"none"	"BS2"	"MCAV"	"DD"	"NO"	"Aug"	"2020"	"Before first treatment"	"Before treatment"	"BS2-2091-DD-A"	"NS2107"
"BS2-2091-HD-A"	"2091"	"none"	"BS2"	"MCAV"	"HD"	"NO"	"Aug"	"2020"	"Before first treatment"	"Before treatment"	"BS2-2091-HD-A"	"NS2107"
"BS2-2149-DD-A"	"2149"	"none"	"BS2"	"MCAV"	"DD"	"NO"	"Aug"	"2020"	"Before first treatment"	"Before treatment"	"BS2-2149-DD-A"	"NS2107"
"BS2-2149-HD-A"	"2149"	"none"	"BS2"	"MCAV"	"HD"	"NO"	"Aug"	"2020"	"Before first treatment"	"Before treatment"	"BS2-2149-HD-A"	"NS2107"
"BS2-2150-HH-A"	"2150"	"none"	"BS2"	"MCAV"	"HH"	"NO"	"Aug"	"2020"	"Before first treatment"	"Before treatment"	"BS2-2150-HH-A"	"NS2107"
"BS2-2155-DD-A"	"2155"	"none"	"BS2"	"MCAV"	"DD"	"NO"	"Aug"	"2020"	"Before first treatment"	"Before treatment"	"BS2-2155-DD-A"	"NS2107"
"BS2-2155-HD-A"	"2155"	"none"	"BS2"	"MCAV"	"HD"	"NO"	"Aug"	"2020"	"Before first treatment"	"Before treatment"	"BS2-2155-HD-A"	"NS2107"
"BS2-2161-DD-A"	"2161"	"none"	"BS2"	"MCAV"	"DD"	"NO"	"Aug"	"2020"	"Before first treatment"	"Before treatment"	"BS2-2161-DD-A"	"NS2107"
"BS2-2179-DD-A"	"2179"	"none"	"BS2"	"MCAV"	"DD"	"NO"	"Aug"	"2020"	"Before first treatment"	"Before treatment"	"BS2-2179-DD-A"	"NS2107"
"BS2-2179-HD-A"	"2179"	"none"	"BS2"	"MCAV"	"HD"	"NO"	"Aug"	"2020"	"Before first treatment"	"Before treatment"	"BS2-2179-HD-A"	"NS2107"
"BS2-2180-DD-A"	"2180"	"none"	"BS2"	"MCAV"	"DD"	"NO"	"Aug"	"2020"	"Before first treatment"	"Before treatment"	"BS2-2180-DD-A"	"NS2107"
"BS2-2180-HD-A"	"2180"	"none"	"BS2"	"MCAV"	"HD"	"NO"	"Aug"	"2020"	"Before first treatment"	"Before treatment"	"BS2-2180-HD-A"	"NS2107"
"BS2-2198-DD-A"	"2198"	"none"	"BS2"	"MCAV"	"DD"	"NO"	"Aug"	"2020"	"Before first treatment"	"Before treatment"	"BS2-2198-DD-A"	"NS2107"
"BS2-2198-HD-A"	"2198"	"none"	"BS2"	"MCAV"	"HD"	"NO"	"Aug"	"2020"	"Before first treatment"	"Before treatment"	"BS2-2198-HD-A"	"NS2107"
"BS2-2415-DD-A"	"2415"	"none"	"BS2"	"MCAV"	"DD"	"NO"	"Aug"	"2020"	"Before first treatment"	"Before treatment"	"BS2-2415-DD-A"	"NS2107"
"BS2-2415-HD-A"	"2415"	"none"	"BS2"	"MCAV"	"HD"	"NO"	"Aug"	"2020"	"Before first treatment"	"Before treatment"	"BS2-2415-HD-A"	"NS2107"
"BS2-2432-DD-A"	"2432"	"none"	"BS2"	"MCAV"	"DD"	"NO"	"Aug"	"2020"	"Before first treatment"	"Before treatment"	"BS2-2432-DD-A"	"NS2107"
"BS2-2432-HD-A"	"2432"	"none"	"BS2"	"MCAV"	"HD"	"NO"	"Aug"	"2020"	"Before first treatment"	"Before treatment"	"BS2-2432-HD-A"	"NS2107"
"BS2-2433-DD-A"	"2433"	"none"	"BS2"	"MCAV"	"DD"	"NO"	"Aug"	"2020"	"Before first treatment"	"Before treatment"	"BS2-2433-DD-A"	"NS2107"
"BS2-2433-HD-A"	"2433"	"none"	"BS2"	"MCAV"	"HD"	"NO"	"Aug"	"2020"	"Before first treatment"	"Before treatment"	"BS2-2433-HD-A"	"NS2107"
"BS2-2474-DD-A"	"2474"	"none"	"BS2"	"MCAV"	"DD"	"NO"	"Aug"	"2020"	"Before first treatment"	"Before treatment"	"BS2-2474-DD-A"	"NS2107"
"BS2-2474-HD-A"	"2474"	"none"	"BS2"	"MCAV"	"HD"	"NO"	"Aug"	"2020"	"Before first treatment"	"Before treatment"	"BS2-2474-HD-A"	"NS2107"
"BS2-2482-DD-A"	"2482"	"none"	"BS2"	"MCAV"	"DD"	"NO"	"Aug"	"2020"	"Before first treatment"	"Before treatment"	"BS2-2482-DD-A"	"NS2107"
"BS2-2482-HD-A"	"2482"	"none"	"BS2"	"MCAV"	"HD"	"NO"	"Aug"	"2020"	"Before first treatment"	"Before treatment"	"BS2-2482-HD-A"	"NS2107"
"BS2-2483-HD-A"	"2483"	"none"	"BS2"	"MCAV"	"HD"	"NO"	"Aug"	"2020"	"Before first treatment"	"Before treatment"	"BS2-2483-HD-A"	"NS2107"
"BS2-3-HH-A"	"3"	"none"	"BS2"	"MCAV"	"HH"	"NO"	"Aug"	"2020"	"Two weeks after second treatment"	"Two weeks after treatment"	"BS2-3-HH-A"	"NS2107"
"BS2-4H-A"	"4"	"none"	"BS2"	"MCAV"	"HH"	"NO"	"Aug"	"2020"	"Two weeks after second treatment"	"Two weeks after treatment"	"BS2-4H-A"	"NS2107"
"BS2-5-HH-A"	"5"	"none"	"BS2"	"MCAV"	"HH"	"NO"	"Aug"	"2020"	"Two weeks after second treatment"	"Two weeks after treatment"	"BS2-5-HH-A"	"NS2107"
"BS2-6H-A"	"6"	"none"	"BS2"	"MCAV"	"HH"	"NO"	"Aug"	"2020"	"Two weeks after second treatment"	"Two weeks after treatment"	"BS2-6H-A"	"NS2107"
