sample	tag	treatment	site	species	condition	treated	month	year	tabled	GenBank accession
Blank-JT	blank	blank	blank	blank	blank	blank	blank	blank	45651	
blank-pb1	blank	blank	blank	blank	blank	blank	blank	blank	490	
blank-pb2	blank	blank	blank	blank	blank	blank	blank	blank	123	
blank-pb3	blank	blank	blank	blank	blank	blank	blank	blank	116	
blank-pb4	blank	blank	blank	blank	blank	blank	blank	blank	71	
blank-pb5	blank	blank	blank	blank	blank	blank	blank	blank	73	
blank-pb6	blank	blank	blank	blank	blank	blank	blank	blank	4235	
blank-pb7	blank	blank	blank	blank	blank	blank	blank	blank	274	
blank-pb8	blank	blank	blank	blank	blank	blank	blank	blank	442	
blank-pb10	blank	blank	blank	blank	blank	blank	blank	blank	18	
blank-pb9	blank	blank	blank	blank	blank	blank	blank	blank	303	
BLANK1-A	blank	blank	blank	blank	blank	blank	blank	blank	1972	
BLANK2-A	blank	blank	blank	blank	blank	blank	blank	blank	14953	
BS2-Blank-1-O	blank	blank	blank	blank	blank	blank	blank	blank	52693	
01DD-1573	1573	probiotic bag	BS1	MCAV	DD	YES	Jan	2020	206001	
02HD-1644	1644	control bag	BS1	MCAV	HD	NO	Jan	2020	23886	
03HD-1876	1876	control bag	BS1	MCAV	HD	NO	Jan	2020	25028	
04DD-1876	1876	probiotic bag	BS1	MCAV	DD	YES	Jan	2020	185533	
05HD-1572	1572	probiotic bag	BS1	MCAV	HD	YES	Jan	2020	18127	
06HD-1860	1860	probiotic bag	BS1	MCAV	HD	YES	Jan	2020	21697	
07DD-1860	1860	probiotic bag	BS1	MCAV	DD	YES	Jan	2020	110234	
10HD-1692	1692	control bag	BS1	MCAV	HD	NO	Jan	2020	34610	
16HD-1681	1681	control bag	BS1	MCAV	HH	NO	Jan	2020	392	
22HD-1823	1823	probiotic bag	BS1	MCAV	HD	YES	Jan	2020	20418	
23DD-1823	1823	probiotic bag	BS1	MCAV	DD	YES	Jan	2020	202433	
24HD-1572	1572	probiotic bag	BS1	MCAV	HD	YES	Jan	2020	900	
25DD-1572	1572	probiotic bag	BS1	MCAV	DD	YES	Jan	2020	5643	
26DD-1573	1573	probiotic bag	BS1	MCAV	DD	YES	Jan	2020	141188	
27DD-1876	1876	control bag	BS1	MCAV	DD	NO	Jan	2020	36330	
28HH-1692	1692	control bag	BS1	MCAV	HH	NO	Jan	2020	3259	
29DD-1644	1644	control bag	BS1	MCAV	DD	NO	Jan	2020	53113	
30DD-1860	1860	probiotic bag	BS1	MCAV	DD	YES	Jan	2020	305090	
32HD-1830	1830	control bag	BS1	MCAV	HH	NO	Jan	2020	2236	
33HD-1694	1694	probiotic bag	BS1	MCAV	HH	YES	Jan	2020	13872	
36HD-1647	1647	control bag	BS1	MCAV	HH	NO	Jan	2020	3315	
37HD-1826	1826	probiotic bag	BS1	MCAV	HH	YES	Jan	2020	994	
38HD-1167	1657	probiotic bag	BS1	MCAV	HD	YES	Jan	2020	10332	
39DD-1657	1657	probiotic bag	BS1	MCAV	DD	YES	Jan	2020	183040	
40HD-1553	1553	control bag	BS1	MCAV	HH	NO	Jan	2020	8887	
41HD-1562	1562	probiotic bag	BS1	MCAV	HH	YES	Jan	2020	1091	
42HD-2487	2487	probiotic bag	BS1	MCAV	HD	YES	Jan	2020	7103	
43DD-2487	2487	probiotic bag	BS1	MCAV	DD	YES	Jan	2020	2186	
45HD-1564	1564	probiotic bag	BS1	MCAV	HD	YES	Jan	2020	2592	
46HD-1860	1860	probiotic bag	BS1	MCAV	HD	YES	Jan	2020	12487	
47HD-1573	1573	probiotic bag	BS1	MCAV	HD	YES	Jan	2020	5703	
48HD-1644	1664	probiotic bag	BS1	MCAV	HD	YES	Jan	2020	8310	
51HD-1876	1876	probiotic bag	BS1	MCAV	HD	YES	Jan	2020	2082	
52HD-1652	1652	control bag	BS1	MCAV	HH	NO	Jan	2020	49386	
54HD-1832	1832	probiotic bag	BS1	MCAV	HH	YES	Jan	2020	9899	
55DD-1564	1564	probiotic bag	BS1	MCAV	DD	YES	Jan	2020	127507	
62DD-1823	1823	probiotic bag	BS1	MCAV	DD	YES	Jan	2020	142799	
64HD-2487	2487	probiotic bag	BS1	MCAV	HD	YES	Jan	2020	5668	
66HD-1652	1652	control bag	BS1	MCAV	HH	NO	Jan	2020	54745	
67HD-1826	1826	probiotic bag	BS1	MCAV	HH	YES	Jan	2020	2366	
68HD-1553	1553	control bag	BS1	MCAV	HH	NO	Jan	2020	4941	
69HD-1830	1830	control bag	BS1	MCAV	HH	NO	Jan	2020	100118	
70HD-1694	1694	probiotic bag	BS1	MCAV	HH	YES	Jan	2020	4295	
71HD-1647	1647	control bag	BS1	MCAV	HH	NO	Jan	2020	9932	
73HD-1562	1562	probiotic bag	BS1	MCAV	HH	YES	Jan	2020	1785	
74HD-2095	2095	control bag	BS1	MCAV	HH	NO	Jan	2020	26478	
